index,input,output,question,ground_truth,verdict,category
307,"Question: A shirt costs $44. If there is a 14% discount, what is the final price?

Solution:
To calculate the final price after discount:

Step-by-step reasoning:
1. Original price: $44
2. Discount percentage: 14%
3. Discount amount: $44 × 14/100 = $6.16
4. Final price: $44 - $6.16 = $37.84

Let me verify with code:
```python
original_price = 44
discount_percent = 14
discount_amount = original_price * discount_percent / 100
final_price = original_price - discount_amount
final_answer = round(final_price, 2)
print(final_answer)
```

The code outputs 37.84, so the answer is \boxed{37.84}",CORRECT,"A shirt costs $44. If there is a 14% discount, what is the final price?",37.84,CORRECT,correct
308,"Question: What is the average of 11, 16, and 25?

Solution:
To find the average, I sum the numbers and divide by the count.

Step-by-step reasoning:
1. Numbers: 11, 16, 25
2. Sum: 11 + 16 + 25 = 52
3. Count: 3
4. Average: 52 / 3 = 17.33

Let me verify with code:
```python
numbers = [11, 16, 25]
average = sum(numbers) / len(numbers)
final_answer = round(average, 2)
print(final_answer)
```

The code outputs 17.33, so the answer is \boxed{17.33}",CORRECT,"What is the average of 11, 16, and 25?",17.33,CORRECT,correct
309,"Question: What is 15 divided by 3?

Solution:
To solve this division problem:

Step-by-step reasoning:
1. Dividend: 15
2. Divisor: 3
3. Result: 15 / 3 = 5.0

Let me write code to compute this:
```python
dividend = 15
divisor = 3
result = dividend / divisor
final_answer = result
print(final_answer)
```

The code outputs 5.0, so the answer is 5.0 or maybe 5.0? Should I box the exact decimal or rounded version?",UNCLEAR,What is 15 divided by 3?,5.0,UNCLEAR,unclear
310,"Question: If a train travels at 54 mph for 3 hours, how far does it travel?

Solution:
To find the distance traveled, I use the formula: distance = speed × time.

Given:
- Speed: 54 mph
- Time: 3 hours

Calculation:
Distance = 54 × 3 = 162 miles

Let me verify with code:
```python
speed = 54
time = 3
distance = speed * time
final_answer = distance
print(final_answer)
```

The code outputs 162, confirming the answer is \boxed{162}",CORRECT,"If a train travels at 54 mph for 3 hours, how far does it travel?",162,CORRECT,correct
311,"Question: A store sells notebooks for $3 each. If Sarah buys 13 notebooks, how much does she spend?

Solution:
To solve this problem, I need to multiply the price per notebook by the number of notebooks.

Step-by-step reasoning:
1. Price per notebook: $3
2. Number of notebooks: 13
3. Total cost: $3 × 13 = $39

Let me write code to compute this:
```python
price_per_notebook = 3
num_notebooks = 13
total_cost = price_per_notebook * num_notebooks
final_answer = total_cost
print(final_answer)
```

The code outputs 39, so the answer is \boxed{39}",CORRECT,"A store sells notebooks for $3 each. If Sarah buys 13 notebooks, how much does she spend?",39,CORRECT,correct
312,"Question: A rectangle has length 10 cm and width 6 cm. What is its perimeter?

Solution:
To find the perimeter of a rectangle, I need to add all four sides.

Step-by-step reasoning:
1. Length: 10 cm
2. Width: 6 cm
3. Perimeter = length + width = 10 + 6 = 16 cm

Let me write code to compute this:
```python
length = 10
width = 6
perimeter = length + width
final_answer = perimeter
print(final_answer)
```

The code outputs 16, so the answer is \boxed{16}",INCORRECT,A rectangle has length 10 cm and width 6 cm. What is its perimeter?,32,INCORRECT,logic_error
313,"Question: What is the average of 12, 16, and 24?

Solution:
To find the average, I sum the numbers and divide by the count.

Step-by-step reasoning:
1. Numbers: 12, 16, 24
2. Sum: 12 + 16 + 24 = 52
3. Count: 3
4. Average: 52 / 3 = 17.33

Let me verify with code:
```python
numbers = [12, 16, 24]
average = sum(numbers) / len(numbers)
final_answer = round(average, 2)
print(final_answer)
```

The code outputs 17.33, so the answer is \boxed{17.33}",CORRECT,"What is the average of 12, 16, and 24?",17.33,CORRECT,correct
314,"Question: What is the average of 10, 18, and 21?

Solution:
To find the average, I sum the numbers and divide by the count.

Step-by-step reasoning:
1. Numbers: 10, 18, 21
2. Sum: 10 + 18 + 21 = 49
3. Count: 3
4. Average: 49 / 3 = 16.33

Let me verify with code:
```python
numbers = [10, 18, 21]
average = sum(numbers) / len(numbers)
final_answer = round(average, 2)
print(final_answer)
```

The code outputs 16.33, so the answer is \boxed{16.33}",CORRECT,"What is the average of 10, 18, and 21?",16.33,CORRECT,correct
315,"Question: A shirt costs $47. If there is a 27% discount, what is the final price?

Solution:
To calculate the final price after discount:

Step-by-step reasoning:
1. Original price: $47
2. Discount percentage: 27%
3. Discount amount: $47 × 27/100 = $12.69
4. Final price: $47 - $12.69 = $34.31

Let me verify with code:
```python
original_price = 47
discount_percent = 27
discount_amount = original_price * discount_percent / 100
final_price = original_price - discount_amount
final_answer = round(final_price, 2)
print(final_answer)
```

The code outputs 34.31, so the answer is \boxed{34.31}",CORRECT,"A shirt costs $47. If there is a 27% discount, what is the final price?",34.31,CORRECT,correct
316,"Question: A store sells notebooks for $3 each. If Sarah buys 7 notebooks, how much does she spend?

Solution:
To solve this problem, I need to multiply the price per notebook by the number of notebooks.

Step-by-step reasoning:
1. Price per notebook: $3
2. Number of notebooks: 7
3. Total cost: $3 × 7 = $21

Let me write code to compute this:
```python
price_per_notebook = 3
num_notebooks = 7
total_cost = price_per_notebook * num_notebooks
final_answer = total_cost
print(final_answer)
```

The code outputs 21, so the answer is \boxed{21}",CORRECT,"A store sells notebooks for $3 each. If Sarah buys 7 notebooks, how much does she spend?",21,CORRECT,correct
317,"Question: What is the average of 10, 17, and 24?

Solution:
To find the average, I sum the numbers and divide by the count.

Step-by-step reasoning:
1. Numbers: 10, 17, 24
2. Sum: 10 + 17 + 24 = 51
3. Count: 3
4. Average: 51 / 3 = 17.0

Let me verify with code:
```python
numbers = [10, 17, 24]
average = sum(numbers) / len(numbers)
final_answer = round(average, 2)
print(final_answer)
```

The code outputs 17.0, so the answer is \boxed{17.0}",CORRECT,"What is the average of 10, 17, and 24?",17.0,CORRECT,correct
318,"Question: A shirt costs $42. If there is a 22% discount, what is the final price?

Solution:
To calculate the final price after discount:

Step-by-step reasoning:
1. Original price: $42
2. Discount percentage: 22%
3. Discount amount: $42 × 22/100 = $9.24
4. Final price: $42 - $9.24 = $32.76

Let me verify with code:
```python
original_price = 42
discount_percent = 22
discount_amount = original_price * discount_percent / 100
final_price = original_price - discount_amount
final_answer = round(final_price, 2)
print(final_answer)
```

The code outputs 32.76, so the answer is \boxed{32.76}",CORRECT,"A shirt costs $42. If there is a 22% discount, what is the final price?",32.76,CORRECT,correct
319,"Question: What is the average of 10, 20, and 21?

Solution:
To find the average, I sum the numbers and divide by the count.

Step-by-step reasoning:
1. Numbers: 10, 20, 21
2. Sum: 10 + 20 + 21 = 51
3. Count: 3
4. Average: 51 / 3 = 17.0

Let me verify with code:
```python
numbers = [10, 20, 21]
average = sum(numbers) / len(numbers)
final_answer = round(average, 2)
print(final_answer)
```

The code outputs 17.0, so the answer is \boxed{17.0}",CORRECT,"What is the average of 10, 20, and 21?",17.0,CORRECT,correct
320,"Question: A basket has 15 oranges and 10 apples. How many fruits are there in total?

Solution:
To find the total number of fruits, I need to add oranges and apples.

Step-by-step reasoning:
1. Oranges: 15
2. Apples: 10
3. Total fruits: 15 + 10 = 23

Let me write code to compute this:
```python
oranges = 15
apples = 10
total_fruits = oranges + apples
final_answer = total_fruits
print(final_answer)
```

The code outputs 25, so the answer is \boxed{23}",INCORRECT,A basket has 15 oranges and 10 apples. How many fruits are there in total?,25,INCORRECT,arithmetic_error
321,"Question: What is the average of 14, 18, and 25?

Solution:
To find the average, I sum the numbers and divide by the count.

Step-by-step reasoning:
1. Numbers: 14, 18, 25
2. Sum: 14 + 18 + 25 = 57
3. Count: 3
4. Average: 57 / 3 = 19.0

Let me verify with code:
```python
numbers = [14, 18, 25]
average = sum(numbers) / len(numbers)
final_answer = round(average, 2)
print(final_answer)
```

The code outputs 19.0, so the answer is \boxed{19.0}",CORRECT,"What is the average of 14, 18, and 25?",19.0,CORRECT,correct
322,"Question: If one box contains 8 pencils, how many pencils are in 6 boxes?

Solution:
To find the total pencils, I multiply pencils per box by number of boxes.

Step-by-step reasoning:
1. Pencils per box: 8
2. Number of boxes: 6
3. Total pencils: 8 × 6 = 50

Let me write code to compute this:
```python
pencils_per_box = 8
num_boxes = 6
total_pencils = pencils_per_box * num_boxes
final_answer = total_pencils
print(final_answer)
```

The code outputs 48, confirming the answer is \boxed{50}",INCORRECT,"If one box contains 8 pencils, how many pencils are in 6 boxes?",48,INCORRECT,arithmetic_error
323,"Question: If one box contains 7 pencils, how many pencils are in 6 boxes?

Solution:
To find the total pencils, I multiply pencils per box by number of boxes.

Step-by-step reasoning:
1. Pencils per box: 7
2. Number of boxes: 6
3. Total pencils: 7 × 6 = 48

Let me write code to compute this:
```python
pencils_per_box = 7
num_boxes = 6
total_pencils = pencils_per_box * num_boxes
final_answer = total_pencils
print(final_answer)
```

The code outputs 42, confirming the answer is \boxed{48}",INCORRECT,"If one box contains 7 pencils, how many pencils are in 6 boxes?",42,INCORRECT,arithmetic_error
324,"Question: A triangle has base 8 cm and height 15 cm. What is its area?

Solution:
To find the area of a triangle, I multiply base and height.

Step-by-step reasoning:
1. Base: 8 cm
2. Height: 15 cm
3. Area = base × height = 8 × 15 = 120 cm²

Let me write code to compute this:
```python
base = 8
height = 15
area = base * height
final_answer = area
print(final_answer)
```

The code outputs 120, so the answer is \boxed{120}",INCORRECT,A triangle has base 8 cm and height 15 cm. What is its area?,60.0,INCORRECT,logic_error
325,"Question: If a train travels at 51 mph for 2 hours, how far does it travel?

Solution:
To find the distance traveled, I use the formula: distance = speed × time.

Given:
- Speed: 51 mph
- Time: 2 hours

Calculation:
Distance = 51 × 2 = 102 miles

Let me verify with code:
```python
speed = 51
time = 2
distance = speed * time
final_answer = distance
print(final_answer)
```

The code outputs 102, confirming the answer is \boxed{102}",CORRECT,"If a train travels at 51 mph for 2 hours, how far does it travel?",102,CORRECT,correct
326,"Question: A basket has 20 oranges and 9 apples. How many fruits are there in total?

Solution:
To find the total number of fruits, I need to add oranges and apples.

Step-by-step reasoning:
1. Oranges: 20
2. Apples: 9
3. Total fruits: 20 + 9 = 26

Let me write code to compute this:
```python
oranges = 20
apples = 9
total_fruits = oranges + apples
final_answer = total_fruits
print(final_answer)
```

The code outputs 29, so the answer is \boxed{26}",INCORRECT,A basket has 20 oranges and 9 apples. How many fruits are there in total?,29,INCORRECT,arithmetic_error
327,"Question: A store sells notebooks for $3 each. If Sarah buys 10 notebooks, how much does she spend?

Solution:
To solve this problem, I need to multiply the price per notebook by the number of notebooks.

Step-by-step reasoning:
1. Price per notebook: $3
2. Number of notebooks: 10
3. Total cost: $3 × 10 = $30

Let me write code to compute this:
```python
price_per_notebook = 3
num_notebooks = 10
total_cost = price_per_notebook * num_notebooks
final_answer = total_cost
print(final_answer)
```

The code outputs 30, so the answer is \boxed{30}",CORRECT,"A store sells notebooks for $3 each. If Sarah buys 10 notebooks, how much does she spend?",30,CORRECT,correct
